================================================================================
                    COMPLETE ASCII TABLE (0-256)
================================================================================

DEC  HEX  OCT  CHAR    |  DEC  HEX  OCT  CHAR    |  DEC  HEX  OCT  CHAR
---  ---  ----    |  ---  ---  ----    |  ---  ---  ----    |  ---  ---  ----

128  80   €       | 164  A4   ¤       | 200  C8   È       | 236  EC   ì
129  81   (ctrl)  | 165  A5   ¥       | 201  C9   É       | 237  ED   í
130  82   ‚       | 166  A6   ¦       | 202  CA   Ê       | 238  EE   î
131  83   ƒ       | 167  A7   §       | 203  CB   Ë       | 239  EF   ï
132  84   „       | 168  A8   ¨       | 204  CC   Ì       | 240  F0   ð
133  85   …       | 169  A9   ©       | 205  CD   Í       | 241  F1   ñ
134  86   †       | 170  AA   ª       | 206  CE   Î       | 242  F2   ò
135  87   ‡       | 171  AB   «       | 207  CF   Ï       | 243  F3   ó
136  88   ˆ       | 172  AC   ¬       | 208  D0   Ð       | 244  F4   ô
137  89   ‰       | 173  AD   ­       | 209  D1   Ñ       | 245  F5   õ
138  8A   Š       | 174  AE   ®       | 210  D2   Ò       | 246  F6   ö
139  8B   ‹       | 175  AF   ¯       | 211  D3   Ó       | 247  F7   ÷
140  8C   Œ       | 176  B0   °       | 212  D4   Ô       | 248  F8   ø
141  8D   (ctrl)  | 177  B1   ±       | 213  D5   Õ       | 249  F9   ù
142  8E   Ž       | 178  B2   ²       | 214  D6   Ö       | 250  FA   ú
143  8F   (ctrl)  | 179  B3   ³       | 215  D7   ×       | 251  FB   û
144  90   (ctrl)  | 180  B4   ´       | 216  D8   Ø       | 252  FC   ü
145  91   '       | 181  B5   µ       | 217  D9   Ù       | 253  FD   ý
146  92   '       | 182  B6   ¶       | 218  DA   Ú       | 254  FE   þ
147  93   "       | 183  B7   ·       | 219  DB   Û       | 255  FF   ÿ
148  94   "       | 184  B8   ¸       | 220  DC   Ü       | 256  100  (beyond standard)
149  95   •       | 185  B9   ¹       | 221  DD   Ý       |
150  96   –       | 186  BA   º       | 222  DE   Þ       |
151  97   —       | 187  BB   »       | 223  DF   ß       |
152  98   ˜       | 188  BC   ¼       | 224  E0   à       |
153  99   ™       | 189  BD   ½       | 225  E1   á       |
154  9A   š       | 190  BE   ¾       | 226  E2   â       |
155  9B   ›       | 191  BF   ¿       | 227  E3   ã       |
156  9C   œ       | 192  C0   À       | 228  E4   ä       |
157  9D   (ctrl)  | 193  C1   Á       | 229  E5   å       |
158  9E   ž       | 194  C2   Â       | 230  E6   æ       |
159  9F   Ÿ       | 195  C3   Ã       | 231  E7   ç       |
160  A0   (space) | 196  C4   Ä       | 232  E8   è       |
161  A1   ¡       | 197  C5   Å       | 233  E9   é       |
162  A2   ¢       | 198  C6   Æ       | 234  EA   ê       |
163  A3   £       | 199  C7   Ç       | 235  EB   ë       |

================================================================================
                            KEY RANGES
================================================================================

CONTROL CHARACTERS:     0-31   (NUL, SOH, STX, etc. - non-printable)
PRINTABLE ASCII:        32-126 (Standard keyboard and symbols)
EXTENDED ASCII:         128-255 (Special characters, accents, etc.)

SPECIFIC RANGES:
- Digits (0-9):         48-57
- Uppercase (A-Z):      65-90
- Lowercase (a-z):      97-122
- Special Symbols:      33-47, 58-64, 91-96, 123-126
- Whitespace:           9 (TAB), 10 (LF), 13 (CR), 32 (SPACE)

================================================================================
                    COMMON ASCII VALUE CONVERSIONS
================================================================================

JAVA CONVERSION CODE:
    char ch = 'A';
    int ascii = (int) ch;          // Result: 65
    
    int code = 65;
    char character = (char) code;  // Result: 'A'

COMMON VALUES:
    '0' = 48,  '9' = 57         Digits range
    'A' = 65,  'Z' = 90         Uppercase range
    'a' = 97,  'z' = 122        Lowercase range
    ' ' = 32                    Space
    '\n' = 10                   Newline
    '\t' = 9                    Tab
    '!' = 33                    Exclamation
    '@' = 64                    At symbol
    
DIFFERENCES:
    'a' - 'A' = 97 - 65 = 32    (lowercase is 32 higher than uppercase)
    '9' - '0' = 57 - 48 = 9     (each digit is 1 apart)

================================================================================
